Education,Percentage,Favorite_Subject,Programming_Skill,Communication,Problem_Solving,Interest,Work_Style,Career
Diploma CSE,90,HTML CSS JS,Excellent,Excellent,Excellent,Web Development,Remote,Web Developer
Diploma CSE,93,Java,Good,Excellent,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,92,Java,Excellent,Excellent,Excellent,Software Development,Office,Software Engineer
Diploma CSE,94,SQL,Good,Good,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,74,SQL,Good,Good,Excellent,Database,Office,Database Administrator
Diploma CSE,80,Cloud Computing,Excellent,Excellent,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,87,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,77,SQL,Excellent,Average,Good,Database,Hybrid,Database Administrator
Diploma CSE,85,Cyber Security,Good,Good,Excellent,Security,Hybrid,Cyber Security Analyst
Diploma CSE,90,Networking,Good,Excellent,Excellent,Networking,Remote,Network Engineer
Diploma CSE,78,Networking,Excellent,Average,Good,Networking,Hybrid,Network Engineer
Diploma CSE,91,Cyber Security,Excellent,Excellent,Excellent,Security,Hybrid,Cyber Security Analyst
Diploma CSE,88,SQL,Excellent,Excellent,Good,Data Science,Remote,Data Analyst
Diploma CSE,95,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,96,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,96,Cloud Computing,Good,Excellent,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,81,Networking,Good,Good,Excellent,Networking,Hybrid,Network Engineer
Diploma CSE,89,Java,Excellent,Excellent,Excellent,Software Development,Remote,Software Engineer
Diploma CSE,93,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,89,Cloud Computing,Good,Excellent,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,81,Cloud Computing,Excellent,Excellent,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,79,HTML CSS JS,Good,Good,Good,Web Development,Remote,Web Developer
Diploma CSE,86,Networking,Good,Excellent,Excellent,Networking,Remote,Network Engineer
Diploma CSE,98,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,86,UI UX,Good,Good,Average,Design,Office,UI UX Designer
Diploma CSE,79,Networking,Excellent,Average,Excellent,Networking,Office,Network Engineer
Diploma CSE,91,Cloud Computing,Excellent,Good,Good,Cloud,Office,Cloud Engineer
Diploma CSE,79,Networking,Good,Good,Good,Networking,Hybrid,Network Engineer
Diploma CSE,77,Python,Good,Good,Good,Data Science,Office,Data Analyst
Diploma CSE,80,SQL,Good,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,92,UI UX,Good,Excellent,Average,Design,Office,UI UX Designer
Diploma CSE,72,Testing,Good,Good,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,77,Cyber Security,Good,Good,Good,Security,Office,Cyber Security Analyst
Diploma CSE,90,UI UX,Good,Excellent,Good,Design,Remote,UI UX Designer
Diploma CSE,82,Java,Good,Good,Excellent,Software Development,Remote,Software Engineer
Diploma CSE,79,Python,Excellent,Good,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,88,Testing,Good,Good,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,73,SQL,Good,Good,Good,Database,Remote,Database Administrator
Diploma CSE,74,Cyber Security,Good,Good,Excellent,Security,Hybrid,Cyber Security Analyst
Diploma CSE,76,SQL,Good,Good,Good,Database,Office,Database Administrator
Diploma CSE,91,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,89,Networking,Excellent,Excellent,Good,Networking,Office,Network Engineer
Diploma CSE,84,UI UX,Good,Good,Good,Design,Hybrid,UI UX Designer
Diploma CSE,92,Cloud Computing,Excellent,Excellent,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,73,UI UX,Good,Good,Good,Design,Office,UI UX Designer
Diploma CSE,76,HTML CSS JS,Good,Average,Good,Web Development,Office,Web Developer
Diploma CSE,80,SQL,Good,Good,Excellent,Database,Hybrid,Database Administrator
Diploma CSE,87,Python,Good,Excellent,Excellent,Data Science,Office,Data Analyst
Diploma CSE,85,UI UX,Good,Excellent,Good,Design,Remote,UI UX Designer
Diploma CSE,95,SQL,Excellent,Excellent,Good,Data Science,Office,Data Analyst
Diploma CSE,86,SQL,Good,Good,Good,Database,Office,Database Administrator
Diploma CSE,90,UI UX,Good,Excellent,Average,Design,Office,UI UX Designer
Diploma CSE,91,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,79,Networking,Good,Average,Excellent,Networking,Office,Network Engineer
Diploma CSE,91,UI UX,Good,Good,Average,Design,Remote,UI UX Designer
Diploma CSE,75,Cyber Security,Excellent,Good,Good,Security,Remote,Cyber Security Analyst
Diploma CSE,94,Java,Good,Excellent,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,70,Testing,Excellent,Good,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,74,HTML CSS JS,Excellent,Good,Excellent,Web Development,Remote,Web Developer
Diploma CSE,95,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,79,Java,Good,Good,Good,Software Development,Hybrid,Software Engineer
Diploma CSE,82,Testing,Good,Good,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,82,Networking,Excellent,Excellent,Good,Networking,Hybrid,Network Engineer
Diploma CSE,83,Java,Excellent,Good,Excellent,Software Development,Office,Software Engineer
Diploma CSE,84,Networking,Good,Excellent,Excellent,Networking,Remote,Network Engineer
Diploma CSE,84,Testing,Excellent,Excellent,Excellent,Software Testing,Remote,QA Engineer
Diploma CSE,82,SQL,Excellent,Excellent,Excellent,Data Science,Office,Data Analyst
Diploma CSE,76,UI UX,Good,Average,Good,Design,Office,UI UX Designer
Diploma CSE,86,UI UX,Good,Excellent,Good,Design,Hybrid,UI UX Designer
Diploma CSE,82,UI UX,Good,Good,Good,Design,Office,UI UX Designer
Diploma CSE,79,Cloud Computing,Good,Good,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,79,Java,Good,Average,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,84,Java,Good,Excellent,Good,Software Development,Hybrid,Software Engineer
Diploma CSE,88,SQL,Excellent,Excellent,Good,Data Science,Remote,Data Analyst
Diploma CSE,93,Python,Excellent,Good,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,91,Networking,Good,Good,Excellent,Networking,Remote,Network Engineer
Diploma CSE,89,Cloud Computing,Good,Excellent,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,85,HTML CSS JS,Good,Excellent,Excellent,Web Development,Office,Web Developer
Diploma CSE,87,SQL,Good,Excellent,Excellent,Database,Office,Database Administrator
Diploma CSE,89,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,82,SQL,Excellent,Good,Excellent,Database,Remote,Database Administrator
Diploma CSE,72,UI UX,Good,Average,Average,Design,Office,UI UX Designer
Diploma CSE,78,SQL,Good,Good,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,82,SQL,Good,Good,Excellent,Database,Remote,Database Administrator
Diploma CSE,87,HTML CSS JS,Excellent,Good,Good,Web Development,Office,Web Developer
Diploma CSE,77,SQL,Good,Average,Excellent,Data Science,Hybrid,Data Analyst
Diploma CSE,93,Networking,Good,Good,Good,Networking,Hybrid,Network Engineer
Diploma CSE,71,Testing,Excellent,Good,Excellent,Software Testing,Hybrid,QA Engineer
Diploma CSE,76,UI UX,Good,Good,Good,Design,Hybrid,UI UX Designer
Diploma CSE,94,Cyber Security,Good,Good,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,77,UI UX,Good,Average,Average,Design,Hybrid,UI UX Designer
Diploma CSE,91,Testing,Excellent,Excellent,Good,Software Testing,Remote,QA Engineer
Diploma CSE,75,Testing,Good,Average,Excellent,Software Testing,Hybrid,QA Engineer
Diploma CSE,80,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,96,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,87,Cyber Security,Excellent,Excellent,Good,Security,Office,Cyber Security Analyst
Diploma CSE,90,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,77,HTML CSS JS,Good,Good,Excellent,Web Development,Remote,Web Developer
Diploma CSE,80,Testing,Excellent,Excellent,Good,Software Testing,Office,QA Engineer
Diploma CSE,98,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,87,Networking,Excellent,Good,Excellent,Networking,Office,Network Engineer
